timestamp,resolver,total,success_rate,error_rate,timeout_rate,servfail_rate
2025-03-06T23:42:06.885522,doh.seby.io,18,0.3888888888888889,0.1111111111111111,0.0,0.0
2025-03-06T23:42:06.885522,syd02.dnscry.pt,27,0.48148148148148145,0.0,0.0,0.0
2025-03-06T23:42:06.885522,syd01.dnscry.pt,26,0.6153846153846154,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.opendns.com,12,0.0,1.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.google,25,0.48,0.0,0.0,0.0
2025-03-06T23:42:06.885522,ns1.fi.dns.opennic.glue,12,0.0,1.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.froth.zone,33,0.5151515151515151,0.0,0.0,0.0
2025-03-06T23:42:06.885522,tlv01.dnscry.pt,24,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,dnspub.restena.lu,32,0.53125,0.0,0.0,0.0
2025-03-06T23:42:06.885522,www.morbitzer.de,8,0.0,1.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.bitdefender.net,16,0.5625,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.mullvad.net,20,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,ns.opennameserver.org,24,0.3333333333333333,0.0,0.3333333333333333,0.0
2025-03-06T23:42:06.885522,ns4.opennameserver.org,23,0.34782608695652173,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.ffmuc.net,21,0.42857142857142855,0.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.quad9.net,21,0.42857142857142855,0.0,0.0,0.0
2025-03-06T23:42:06.885522,ns2.opennameserver.org,19,0.3684210526315789,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.applied-privacy.net,20,0.75,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.kekew.info,22,0.5909090909090909,0.0,0.0,0.0
2025-03-06T23:42:06.885522,doh.libredns.gr,19,0.6842105263157895,0.0,0.0,0.0
2025-03-06T23:42:06.885522,unicast.uncensoreddns.org,16,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,unfiltered.adguard-dns.com,17,0.35294117647058826,0.0,0.0,0.0
2025-03-06T23:42:06.885522,uncensored.dns.dnswarden.com,7,0.0,0.0,0.0,0.0
2025-03-06T23:42:06.885522,resolver.dnsprivacy.org.uk,8,0.0,0.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.switch.ch,6,0.5,0.0,0.0,0.0
2025-03-06T23:42:06.885522,common.dot.dns.yandex.net,8,0.75,0.0,0.0,0.0
2025-03-06T23:42:06.885522,dns.rabbitdns.org,7,0.0,0.0,1.0,0.0
